0.00	2.530	-0.1	-1.310	-0.109	0.09370	-0.41997	-0.28846	0.7312
0.01	2.548	-0.1	-1.313	-0.112	0.09530	-0.41729	-0.28685	0.7337
0.02	2.644	-0.1	-1.331	-0.104	0.10290	-0.39998	-0.28241	0.738
0.03	2.777	-0.1	-1.355	-0.097	0.11480	-0.34799	-0.26842	0.7499
0.04	2.927	0.0	-1.383	-0.088	0.10730	-0.27572	-0.24759	0.7567
0.05	3.094	0.0	-1.410	-0.085	0.10520	-0.21231	-0.22385	0.7676
0.08	3.385	0.0	-1.443	-0.078	0.08370	-0.14427	-0.17525	0.7808
0.10	3.619	0.0	-1.469	-0.075	0.07610	-0.27064	-0.29293	0.8015
0.15	3.705	-0.1	-1.446	-0.027	0.05450	-0.48313	-0.39551	0.8061
0.20	3.401	-0.1	-1.358	0.000	0.04930	-0.65315	-0.44644	0.7977
0.30	2.874	-0.1	-1.227	0.000	0.04690	-0.82609	-0.45730	0.792
0.40	2.401	-0.1	-1.113	0.000	0.04000	-0.89517	-0.43008	0.8043
0.50	2.170	-0.1	-1.068	0.000	0.02710	-0.94614	-0.37408	0.788
0.75	1.38296	-0.14169	-0.92585	0	0.0141	-1.00786	-0.28957	0.8013
1	0.94162	-0.16069	-0.86109	0	0	-1.01331	-0.28702	0.7977
1.5	0.36315	-0.1879	-0.79498	0	0	-0.98071	-0.24695	0.8228
2	-0.02806	-0.20666	-0.7626	0	-0.009	-0.91007	-0.17336	0.8229
3	-0.64241	-0.23038	-0.73634	0	-0.0683	-0.85793	-0.13336	0.8164
4	-0.93329	-0.25756	-0.7121	0	-0.2231	-0.75645	-0.07749	0.7235
PGV	6.13498	-0.12091	-1.04013	-0.0616	0.063	-0.72057	-0.19688	0.7063
